incident_name,incident_created_year,incident_created_month,incident_created_day,incident_created_hour,incident_created_minute,incident_acres_burned,incident_longitude,incident_latitude,incident_extinguished_year,incident_extinguished_month,incident_extinguished_day,incident_extinguished_hour,incident_extinguished_minute
Bald Hill 3 Fire,2014,09,12,15,00,210,-123.753,41.134,2014,09,15,11,00
Dog Bar Fire,2014,09,13,14,07,247,-120.999508,39.113682,2014,09,18,18,45
King Fire,2014,09,13,16,32,97717,-120.629714,38.805437,2014,10,09,17,20
Irene Fire,2014,09,14,09,15,94,-120.028,38.59,2014,09,17,18,45
Courtney Fire,2014,09,14,13,36,320,-119.604124,37.311915,2014,09,22,07,15
Boles Fire,2014,09,15,13,38,516,-122.37432,41.42384,2014,10,11,18,50
Cascade Fire,2014,09,25,18,00,20,-120.1140659,38.9195001,2014,09,25,07,27
Dog Rock Fire,2014,10,07,15,05,311,40.34,37,2014,10,12,18,00
Bane Fire,2014,10,16,14,34,48,-117.70643,33.93869,2014,10,17,18,15
Stephens Fire,2015,02,24,12,15,200,-121.851,41.485,2015,03,02,09,00
Ward Fire,2015,04,13,05,30,137,-120.70166666667,40.050833333333,2015,04,18,23,50
Highway Fire,2015,04,18,18,12,1049,-117.642759,33.884313,2015,04,24,07,30
Forebay Fire,2015,05,11,10,26,692,-121.06963,37.08312,2015,05,11,12,15
Bald Fire,2015,06,10,07,42,20,-123.8292,41.1513,2015,06,11,18,15
Saddle Fire ,2015,06,10,15,00,1542,-123.168,40.924,2015,06,29,09,00
Pass Fire,2015,06,15,15,46,67,-120.19482,35.77937,2015,06,15,18,45
Chiles Fire,2015,06,16,14,27,38,-122.3415,38.5287,2015,06,17,13,10
North Fire,2015,06,16,16,42,60,-121.135426,38.260777,2015,06,17,06,45
Fork Fire,2015,06,17,12,50,55,-122.552,40.0133,2015,06,17,18,30
Lake Fire,2015,06,17,15,52,31359,-116.89277777778,34.160277777778,2015,08,01,22,15
Wildcat Fire,2015,06,17,17,03,171,-116.8534,32.9421,2015,06,19,17,45
Cook Fire,2015,06,18,13,07,158,-121.26471,39.2688,2015,06,22,11,45
Corrine Fire,2015,06,18,21,00,920,-119.523943,37.165767,2015,06,25,18,45
Dixie Fire,2015,06,19,16,15,60,-121.033667,40.875667,2015,06,20,19,35
